類型,行號,緯度,經度,位置描述,距離本島
海上,9. 第 15 行: 座標 (25.970819, 119.933934) 在台灣範圍外,25.970819,119.933934,海上遠離陸地,182.9公里
海上,10. 第 16 行: 座標 (25.957484, 119.97711) 在台灣範圍外,25.957484,119.977110,海上遠離陸地,178.4公里
海上,12. 第 28 行: 座標 (27.0, 119.752122) 在台灣範圍外,27.000000,119.752122,海上遠離陸地,264.1公里
海上,13. 第 33 行: 座標 (26.870923, 121.011554) 在台灣範圍外,26.870923,121.011554,海上遠離陸地,184.3公里
海上,14. 第 34 行: 座標 (26.87753, 121.065984) 在台灣範圍外,26.877530,121.065984,海上遠離陸地,183.3公里
海上,15. 第 35 行: 座標 (26.886062, 121.085281) 在台灣範圍外,26.886062,121.085281,海上遠離陸地,183.7公里
海上,16. 第 36 行: 座標 (26.888575, 121.130215) 在台灣範圍外,26.888575,121.130215,海上遠離陸地,182.8公里
海上,17. 第 37 行: 座標 (26.890879, 121.007673) 在台灣範圍外,26.890879,121.007673,海上遠離陸地,186.5公里
海上,18. 第 38 行: 座標 (26.894742, 121.078766) 在台灣範圍外,26.894742,121.078766,海上遠離陸地,184.8公里
海上,19. 第 39 行: 座標 (26.896771, 121.117328) 在台灣範圍外,26.896771,121.117328,海上遠離陸地,184.0公里
海上,20. 第 40 行: 座標 (26.898658, 121.06181) 在台灣範圍外,26.898658,121.061810,海上遠離陸地,185.7公里
海上,21. 第 41 行: 座標 (26.908939, 121.054326) 在台灣範圍外,26.908939,121.054326,海上遠離陸地,187.0公里
海上,22. 第 42 行: 座標 (26.915734, 121.02689) 在台灣範圍外,26.915734,121.026890,海上遠離陸地,188.6公里
海上,23. 第 43 行: 座標 (26.921813, 121.079829) 在台灣範圍外,26.921813,121.079829,海上遠離陸地,187.7公里
海上,24. 第 44 行: 座標 (26.92647, 121.031521) 在台灣範圍外,26.926470,121.031521,海上遠離陸地,189.6公里
海上,25. 第 78 行: 座標 (21.201237, 120.237198) 在台灣範圍外,21.201237,120.237198,海上遠離陸地,88.4公里
海上,26. 第 245 行: 座標 (22.555905, 118.569662) 在台灣範圍外,22.555905,118.569662,海上遠離陸地,244.5公里
海上,27. 第 605 行: 座標 (22.702543, 119.464848) 在台灣範圍外,22.702543,119.464848,海上遠離陸地,170.2公里
海上,28. 第 693 行: 座標 (22.764013, 0.0) 在台灣範圍外,22.764013,0.000000,海上遠離陸地,6061.7公里
海上,29. 第 792 行: 座標 (22.866835, 0.0) 在台灣範圍外,22.866835,0.000000,海上遠離陸地,6052.3公里
海上,30. 第 810 行: 座標 (22.8845, 0.0) 在台灣範圍外,22.884500,0.000000,海上遠離陸地,6050.7公里
海上,31. 第 1381 行: 座標 (23.193387, 119.425916) 在台灣範圍外,23.193387,119.425916,海上遠離陸地,209.6公里
海上,32. 第 1390 行: 座標 (23.202412, 119.428683) 在台灣範圍外,23.202412,119.428683,海上遠離陸地,210.1公里
海上,33. 第 1391 行: 座標 (23.2025, 119.4286) 在台灣範圍外,23.202500,119.428600,海上遠離陸地,210.2公里
海上,34. 第 1395 行: 座標 (23.2056, 119.4335) 在台灣範圍外,23.205600,119.433500,海上遠離陸地,210.1公里
海上,35. 第 1396 行: 座標 (23.2058, 119.4295) 在台灣範圍外,23.205800,119.429500,海上遠離陸地,210.4公里
海上,36. 第 1400 行: 座標 (23.2069, 119.4286) 在台灣範圍外,23.206900,119.428600,海上遠離陸地,210.5公里
海上,37. 第 1404 行: 座標 (23.211, 119.4376) 在台灣範圍外,23.211000,119.437600,海上遠離陸地,210.2公里
海上,38. 第 1405 行: 座標 (23.211082, 119.437357) 在台灣範圍外,23.211082,119.437357,海上遠離陸地,210.3公里
海上,39. 第 1408 行: 座標 (23.2135, 119.4287) 在台灣範圍外,23.213500,119.428700,海上遠離陸地,211.1公里
海上,40. 第 1411 行: 座標 (23.2148, 119.4294) 在台灣範圍外,23.214800,119.429400,海上遠離陸地,211.1公里
海上,41. 第 1613 行: 座標 (23.361206, 119.496973) 在台灣範圍外,23.361206,119.496973,海上遠離陸地,219.2公里
海上,78. 第 3022 行: 座標 (23.982156, 117.874241) 在台灣範圍外,23.982156,117.874241,海上遠離陸地,385.6公里
海上,117. 第 5945 行: 座標 (25.5234, 120.5472) 在台灣範圍外,25.523400,120.547200,海上遠離陸地,108.6公里
海上,118. 第 5946 行: 座標 (25.7717, 117.8236) 在台灣範圍外,25.771700,117.823600,海上遠離陸地,382.5公里
海上,138. 第 5966 行: 座標 (26.871407, 121.004719) 在台灣範圍外,26.871407,121.004719,海上遠離陸地,184.6公里
海上,139. 第 5967 行: 座標 (26.876735, 121.105768) 在台灣範圍外,26.876735,121.105768,海上遠離陸地,182.1公里
海上,140. 第 5968 行: 座標 (26.882838, 121.029795) 在台灣範圍外,26.882838,121.029795,海上遠離陸地,185.0公里
海上,141. 第 5969 行: 座標 (26.898771, 121.095164) 在台灣範圍外,26.898771,121.095164,海上遠離陸地,184.8公里
海上,142. 第 5970 行: 座標 (26.900275, 121.024039) 在台灣範圍外,26.900275,121.024039,海上遠離陸地,187.0公里
海上,143. 第 5971 行: 座標 (26.905677, 121.064953) 在台灣範圍外,26.905677,121.064953,海上遠離陸地,186.4公里
海上,144. 第 5972 行: 座標 (26.908804, 121.082269) 在台灣範圍外,26.908804,121.082269,海上遠離陸地,186.2公里
海上,145. 第 5973 行: 座標 (26.933159, 121.045155) 在台灣範圍外,26.933159,121.045155,海上遠離陸地,189.9公里
