縣市及鄉鎮市區,總數,室內數,戶外數,室內比例,戶外比例
花蓮縣花蓮市,28,28,0,100.0,0.0
花蓮縣萬榮鄉,10,10,0,100.0,0.0
花蓮縣豐濱鄉,7,6,1,85.7,14.3
花蓮縣鳳林鎮,16,16,0,100.0,0.0
苗栗縣三灣鄉,9,8,1,88.9,11.1
苗栗縣三義鄉,8,7,1,87.5,12.5
苗栗縣公館鄉,2,2,0,100.0,0.0
苗栗縣卓蘭鎮,11,4,7,36.4,63.6
苗栗縣南庄鄉,12,10,2,83.3,16.7
苗栗縣大湖鄉,18,10,8,55.6,44.4
苗栗縣後龍鎮,26,14,12,53.8,46.2
苗栗縣泰安鄉,13,8,5,61.5,38.5
苗栗縣獅潭鄉,12,12,0,100.0,0.0
苗栗縣竹南鎮,13,7,6,53.8,46.2
苗栗縣苑裡鎮,8,5,3,62.5,37.5
苗栗縣苗栗市,25,19,6,76.0,24.0
苗栗縣西湖鄉,5,5,0,100.0,0.0
苗栗縣通霄鎮,6,6,0,100.0,0.0
苗栗縣造橋鄉,4,4,0,100.0,0.0
苗栗縣銅鑼鄉,15,8,7,53.3,46.7
苗栗縣頭份市,31,16,15,51.6,48.4
苗栗縣頭屋鄉,5,3,2,60.0,40.0
連江縣北竿鄉,9,9,0,100.0,0.0
連江縣南竿鄉,7,7,0,100.0,0.0
連江縣東引鄉,3,3,0,100.0,0.0
金門縣烈嶼鄉,6,6,0,100.0,0.0
金門縣金城鎮,7,7,0,100.0,0.0
金門縣金寧鄉,7,7,0,100.0,0.0
金門縣金沙鎮,9,9,0,100.0,0.0
金門縣金湖鎮,9,9,0,100.0,0.0
雲林縣二崙鄉,8,8,0,100.0,0.0
雲林縣元長鄉,11,11,0,100.0,0.0
雲林縣北港鎮,17,17,0,100.0,0.0
雲林縣口湖鄉,25,25,0,100.0,0.0
雲林縣古坑鄉,27,26,1,96.3,3.7
雲林縣四湖鄉,12,12,0,100.0,0.0
雲林縣土庫鎮,13,13,0,100.0,0.0
雲林縣大埤鄉,7,7,0,100.0,0.0
雲林縣崙背鄉,14,14,0,100.0,0.0
雲林縣斗六市,26,24,2,92.3,7.7
雲林縣斗南鎮,7,6,1,85.7,14.3
雲林縣東勢鄉,17,17,0,100.0,0.0
雲林縣林內鄉,14,14,0,100.0,0.0
雲林縣水林鄉,16,15,1,93.8,6.2
雲林縣臺西鄉,12,7,5,58.3,41.7
雲林縣莿桐鄉,7,7,0,100.0,0.0
雲林縣虎尾鎮,35,34,1,97.1,2.9
雲林縣褒忠鄉,8,8,0,100.0,0.0
雲林縣西螺鎮,36,36,0,100.0,0.0
雲林縣麥寮鄉,17,17,0,100.0,0.0
高雄市三民區,38,38,0,100.0,0.0
高雄市仁武區,12,12,0,100.0,0.0
高雄市內門區,13,13,0,100.0,0.0
高雄市六龜區,19,19,0,100.0,0.0
高雄市前金區,5,5,0,100.0,0.0
高雄市前鎮區,21,21,0,100.0,0.0
高雄市大寮區,40,38,2,95.0,5.0
高雄市大樹區,12,12,0,100.0,0.0
高雄市大社區,5,5,0,100.0,0.0
高雄市小港區,16,16,0,100.0,0.0
高雄市岡山區,14,4,10,28.6,71.4
高雄市左營區,30,30,0,100.0,0.0
高雄市彌陀區,6,6,0,100.0,0.0
高雄市新興區,6,6,0,100.0,0.0
高雄市旗山區,17,14,3,82.4,17.6
高雄市旗津區,5,5,0,100.0,0.0
高雄市杉林區,18,18,0,100.0,0.0
高雄市林園區,9,9,0,100.0,0.0
高雄市桃源區,17,17,0,100.0,0.0
高雄市梓官區,9,9,0,100.0,0.0
高雄市楠梓區,23,23,0,100.0,0.0
高雄市橋頭區,7,7,0,100.0,0.0
高雄市永安區,5,5,0,100.0,0.0
高雄市湖內區,6,6,0,100.0,0.0
高雄市燕巢區,13,13,0,100.0,0.0
高雄市田寮區,4,4,0,100.0,0.0
高雄市甲仙區,11,11,0,100.0,0.0
高雄市美濃區,16,16,0,100.0,0.0
高雄市苓雅區,13,13,0,100.0,0.0
高雄市茂林區,6,5,1,83.3,16.7
高雄市茄萣區,7,7,0,100.0,0.0
高雄市路竹區,11,11,0,100.0,0.0
高雄市那瑪夏區,3,3,0,100.0,0.0
高雄市阿蓮區,5,5,0,100.0,0.0
高雄市鳥松區,9,9,0,100.0,0.0
高雄市鳳山區,36,17,19,47.2,52.8
高雄市鹽埕區,5,5,0,100.0,0.0
高雄市鼓山區,13,5,8,38.5,61.5
